Id,Label,Type,Tags,Rating,Title
2081-F,2081-F,Problem,"constructive algorithms,math",3300,Hot Matrix
2081-E,2081-E,Problem,"combinatorics,dp,implementation",3300,Quantifier
2081-D,2081-D,Problem,"constructive algorithms,dsu,graphs,greedy,math,number theory,sortings,trees",2600,MST in Modulo Graph
2081-C,2081-C,Problem,"bitmasks,constructive algorithms,greedy,implementation,matrices",2700,Quaternary Matrix
2081-B,2081-B,Problem,greedy,2500,Balancing
2081-A,2081-A,Problem,"bitmasks,dp,math,probabilities",1800,Math Division
2080-D,2080-D,Problem,"*special,binary search",3400,Order Statistics
2080-C,2080-C,Problem,*special,2300,Card Flip
2080-B,2080-B,Problem,*special,1700,Best Runner
2080-A,2080-A,Problem,"*special,constructive algorithms,graphs",3200,Strong Connectivity Strikes Back
2079-D,2079-D,Problem,"*special,sortings",1800,Cute Subsequences
2079-C,2079-C,Problem,*special,2300,Dreaming Is Not Harmful
2079-B,2079-B,Problem,"*special,data structures,dp,greedy",2600,Arithmetic Exercise
2079-A,2079-A,Problem,"*special,data structures,dp,games",3300,"Alice, Bob, And Two Arrays"
2078-D,2078-D,Problem,"dp,greedy,implementation",1800,Scammy Game Ad
2078-B,2078-B,Problem,"constructive algorithms,graphs,greedy,implementation,math",1100,Vicious Labyrinth
2078-A,2078-A,Problem,math,800,Final Verdict
2077-G,2077-G,Problem,"bitmasks,chinese remainder theorem,dfs and similar,graphs,number theory",3500,RGB Walking
2077-F,2077-F,Problem,"bitmasks,constructive algorithms,dp",3300,AND x OR
2077-E,2077-E,Problem,"combinatorics,constructive algorithms,data structures,divide and conquer,dp,greedy,math",2700,Another Folding Strip
2077-D,2077-D,Problem,"brute force,data structures,greedy,implementation,math",3100,Maximum Polygon
2077-C,2077-C,Problem,"combinatorics,data structures,dp,fft,math,matrices",2300,Binary Subsequence Value Sum
2077-B,2077-B,Problem,"bitmasks,constructive algorithms,implementation,interactive,math",1900,Finding OR Sum
2077-A,2077-A,Problem,"constructive algorithms,greedy,math,sortings",1500,Breach of Faith
2075-F,2075-F,Problem,"binary search,brute force,data structures,implementation",3000,Beautiful Sequence Returns
2075-E,2075-E,Problem,"bitmasks,combinatorics,dp,implementation,math",2500,XOR Matrix
2075-D,2075-D,Problem,"bitmasks,brute force,dp,graphs,math",2000,Equalization
2075-C,2075-C,Problem,"binary search,combinatorics,math",1500,Two Colors
2075-B,2075-B,Problem,"constructive algorithms,greedy",1300,Array Recoloring
2075-A,2075-A,Problem,"greedy,math",800,To Zero
2074-G,2074-G,Problem,"dp,geometry",2100,Game With Triangles: Season 2
2074-F,2074-F,Problem,"bitmasks,divide and conquer,greedy,implementation,math",2000,Counting Necessary Nodes
2074-E,2074-E,Problem,"geometry,interactive,probabilities",1600,Empty Triangle
2074-D,2074-D,Problem,"brute force,data structures,geometry,implementation,two pointers",1400,Counting Points
2074-C,2074-C,Problem,"bitmasks,brute force,geometry,greedy,probabilities",1100,XOR and Triangle
2074-B,2074-B,Problem,"geometry,greedy,math",800,The Third Side
2074-A,2074-A,Problem,"geometry,implementation",800,Draw a Square
2073-M,2073-M,Problem,,3300,Can You Reach There?
2073-L,2073-L,Problem,,1300,Boarding Queue
2073-K,2073-K,Problem,,2900,Book Sorting
2073-J,2073-J,Problem,,2000,Gathering Sharks
2073-I,2073-I,Problem,,3100,Squares on Grid Lines
2073-H,2073-H,Problem,interactive,2700,Secret Lilies and Roses
2073-G,2073-G,Problem,,2200,Corrupted File
2073-F,2073-F,Problem,,3500,Hold the Star
2073-E,2073-E,Problem,interactive,3300,Minus Operator
2073-D,2073-D,Problem,,2400,Tower of Hanoi
2073-C,2073-C,Problem,,2700,Cactus Connectivity
2073-B,2073-B,Problem,,3500,Three-Dimensional Embedding
2073-A,2073-A,Problem,,1900,Control Towers
2072-G,2072-G,Problem,"binary search,brute force,combinatorics,divide and conquer,math,number theory",2200,I've Been Flipping Numbers for 300 Years and Calculated the Sum
2072-F,2072-F,Problem,"2-sat,bitmasks,combinatorics,constructive algorithms,fft,math,number theory",1700,"Goodbye, Banker Life"
2072-E,2072-E,Problem,"binary search,brute force,constructive algorithms,dp,geometry,greedy,math",1500,Do You Love Your Hero and His Two-Hit Multi-Target Attacks?
2072-D,2072-D,Problem,"brute force,greedy,implementation",1300,"For Wizards, the Exam Is Easy, but I Couldn't Handle It"
2072-C,2072-C,Problem,"bitmasks,constructive algorithms,greedy",1200,Creating Keys for StORages Has Become My Main Skill
2072-B,2072-B,Problem,"combinatorics,constructive algorithms,strings",900,"Having Been a Treasurer in the Past, I Help Goblins Deceive"
2072-A,2072-A,Problem,"greedy,implementation,math",800,"New World, New Me, New Array"
2071-F,2071-F,Problem,"binary search,data structures",2700,Towering Arrays
2071-E,2071-E,Problem,"combinatorics,dp,probabilities,trees",2600,LeaFall
2071-D2,2071-D2,Problem,"bitmasks,brute force,constructive algorithms,data structures,dp,implementation,math",2500,Infinite Sequence (Hard Version)
2071-D1,2071-D1,Problem,"bitmasks,brute force,dp,implementation,math",1800,Infinite Sequence (Easy Version)
2071-C,2071-C,Problem,"constructive algorithms,data structures,dfs and similar,dp,greedy,sortings,trees",1700,Trapmigiano Reggiano
2071-B,2071-B,Problem,"brute force,constructive algorithms,greedy,math",1100,Perfecto
2071-A,2071-A,Problem,"math,number theory",800,The Play Never Ends
2070-F,2070-F,Problem,"bitmasks,divide and conquer,dp,fft",3000,Friends and Pizza
2070-E,2070-E,Problem,"constructive algorithms,data structures,divide and conquer,games,greedy,math",2200,Game with Binary String
2070-D,2070-D,Problem,"dfs and similar,dp,trees",1600,Tree Jumps
2070-C,2070-C,Problem,"binary search,greedy",1500,Limited Repainting
2070-B,2070-B,Problem,"brute force,implementation,math",1100,Robot Program
2070-A,2070-A,Problem,"brute force,math",800,FizzBuzz Remixed
2069-F,2069-F,Problem,"data structures,dfs and similar,divide and conquer,dsu,graphs",2800,Graph Inclusion
2069-E,2069-E,Problem,"constructive algorithms,greedy,sortings,strings",2300,"A, B, AB and BA"
2069-D,2069-D,Problem,"binary search,greedy,hashing,strings,two pointers",1800,Palindrome Shuffle
2069-C,2069-C,Problem,"combinatorics,dp,greedy,two pointers",1500,Beautiful Sequence
2069-B,2069-B,Problem,"greedy,matrices",1200,Set of Strangers
2069-A,2069-A,Problem,"graph matchings,greedy",800,Was there an Array?
2068-K,2068-K,Problem,"flows,graphs",3000,Amusement Park Rides
2068-J,2068-J,Problem,"combinatorics,greedy",2000,The Ultimate Wine Tasting Event
2068-I,2068-I,Problem,"graphs,shortest paths",3500,Pinball
2068-H,2068-H,Problem,"constructive algorithms,greedy,math",2700,Statues
2068-G,2068-G,Problem,shortest paths,3500,A Very Long Hike
2068-F,2068-F,Problem,"brute force,greedy,implementation,strings",1900,Mascot Naming
2068-E,2068-E,Problem,"data structures,dfs and similar,dsu,graphs,shortest paths",2800,Porto Vs. Benfica
2068-D,2068-D,Problem,"dp,sortings,trees",3100,Morse Code
2068-C,2068-C,Problem,"binary search,greedy,two pointers",2100,Ads
2068-B,2068-B,Problem,constructive algorithms,3100,Urban Planning
2068-A,2068-A,Problem,"constructive algorithms,graphs,greedy,probabilities",2300,Condorcet Elections
2067-C,2067-C,Problem,"brute force,dfs and similar,greedy,math",1500,Devyatkino
2067-B,2067-B,Problem,"brute force,dp,greedy,sortings",1200,Two Large Bags
2067-A,2067-A,Problem,"brute force,constructive algorithms,math",800,Adjacent Digit Sums
2066-F,2066-F,Problem,"constructive algorithms,dp,math",3300,Curse
2066-E,2066-E,Problem,"binary search,data structures,greedy,implementation",3300,Tropical Season
2066-D2,2066-D2,Problem,"combinatorics,dp,math",2900,Club of Young Aircraft Builders (hard version)
2066-D1,2066-D1,Problem,"combinatorics,dp,math",2400,Club of Young Aircraft Builders (easy version)
2066-C,2066-C,Problem,"bitmasks,combinatorics,dp,math",2300,Bitwise Slides
2066-B,2066-B,Problem,"constructive algorithms,data structures,dp,greedy,implementation",1900,White Magic
2066-A,2066-A,Problem,"graphs,greedy,implementation,interactive",1400,Object Identification
2065-H,2065-H,Problem,"combinatorics,data structures,divide and conquer,dp,math,matrices",2200,Bro Thinks He's Him
2065-G,2065-G,Problem,"combinatorics,math,number theory",1700,Skibidus and Capping
2065-F,2065-F,Problem,"data structures,dfs and similar,graphs,greedy,trees",1700,Skibidus and Slay
2065-E,2065-E,Problem,"constructive algorithms,greedy,strings",1600,Skibidus and Rizz
2065-D,2065-D,Problem,"greedy,sortings",1200,Skibidus and Sigma
2065-C2,2065-C2,Problem,"binary search,greedy",1300,Skibidus and Fanum Tax (hard version)
2065-C1,2065-C1,Problem,"binary search,dp,greedy",1100,Skibidus and Fanum Tax (easy version)
2065-B,2065-B,Problem,strings,800,Skibidus and Ohio
2065-A,2065-A,Problem,"brute force,constructive algorithms,greedy,implementation,strings",800,Skibidus and Amog'u
2064-F,2064-F,Problem,"binary search,data structures,dp,two pointers",2600,We Be Summing
2064-E,2064-E,Problem,"combinatorics,data structures,dsu,greedy,math,sortings",2400,Mycraft Sand Sort
2064-D,2064-D,Problem,"binary search,bitmasks,brute force,data structures,dp,greedy,trees,two pointers",1900,Eating
2064-C,2064-C,Problem,"brute force,constructive algorithms,dp,greedy",1300,Remove the Ends
2064-B,2064-B,Problem,"binary search,constructive algorithms,greedy,two pointers",1100,Variety is Discouraged
2064-A,2064-A,Problem,"greedy,strings",800,Brogramming Contest
2063-F2,2063-F2,Problem,"combinatorics,data structures,dfs and similar,dsu,graphs,implementation,trees",2700,Counting Is Not Fun (Hard Version)
2063-F1,2063-F1,Problem,"combinatorics,data structures,dfs and similar,dp,dsu,graphs,hashing,implementation,math,trees",2400,Counting Is Not Fun (Easy Version)
2063-E,2063-E,Problem,"data structures,dfs and similar,dp,greedy,trees",2300,Triangle Tree
2063-D,2063-D,Problem,"binary search,brute force,data structures,geometry,greedy,implementation,math,ternary search,two pointers",2000,Game With Triangles
2063-C,2063-C,Problem,"brute force,data structures,dfs and similar,dp,graphs,greedy,sortings,trees",1600,Remove Exactly Two
2063-B,2063-B,Problem,"constructive algorithms,data structures,greedy,sortings",1100,Subsequence Update
2063-A,2063-A,Problem,"math,number theory",800,Minimal Coprime
2062-H,2062-H,Problem,"bitmasks,combinatorics,dp",3500,Galaxy Generator
2062-G,2062-G,Problem,"flows,geometry,graph matchings,graphs",3500,Permutation Factory
2062-F,2062-F,Problem,"constructive algorithms,dp,geometry,graphs,greedy,math,sortings",2900,Traveling Salescat
2062-E2,2062-E2,Problem,"data structures,dfs and similar,games,graphs,implementation,trees",3000,The Game (Hard Version)
2062-E1,2062-E1,Problem,"data structures,dfs and similar,games,graphs,greedy,trees",2000,The Game (Easy Version)
2062-D,2062-D,Problem,"dfs and similar,dp,graphs,greedy,trees",2200,Balanced Tree
2062-C,2062-C,Problem,"brute force,math",1200,Cirno and Operations
2062-B,2062-B,Problem,"greedy,math",900,Clockwork
2062-A,2062-A,Problem,"constructive algorithms,greedy,math,strings",800,String
2061-I,2061-I,Problem,"divide and conquer,dp",3500,Kevin and Nivek
2061-H2,2061-H2,Problem,"flows,graphs",3500,Kevin and Stones (Hard Version)
2061-H1,2061-H1,Problem,"flows,graph matchings,graphs",3500,Kevin and Stones (Easy Version)
2061-G,2061-G,Problem,"constructive algorithms,graphs,interactive",2900,Kevin and Teams
2061-F2,2061-F2,Problem,"data structures,dp",3500,Kevin and Binary String (Hard Version)
2061-F1,2061-F1,Problem,"greedy,implementation",2100,Kevin and Binary String (Easy Version)
2061-E,2061-E,Problem,"bitmasks,brute force,dp,greedy,math,sortings",2000,Kevin and And
2061-D,2061-D,Problem,"bitmasks,data structures",1600,Kevin and Numbers
2061-C,2061-C,Problem,"2-sat,combinatorics,dp",1600,Kevin and Puzzle
2061-B,2061-B,Problem,"binary search,geometry",1100,Kevin and Geometry
2061-A,2061-A,Problem,math,800,Kevin and Arithmetic
2060-G,2060-G,Problem,"dp,greedy,sortings",2400,Bugged Sort
2060-F,2060-F,Problem,"combinatorics,dp,number theory",2200,Multiplicative Arrays
2060-E,2060-E,Problem,"dfs and similar,dsu,graphs,greedy",1500,Graph Composition
2060-D,2060-D,Problem,greedy,1100,Subtract Min Sort
2060-C,2060-C,Problem,"games,greedy,sortings,two pointers",900,Game of Mathletes
2060-B,2060-B,Problem,"greedy,sortings",1000,Farmer John's Card Game
2060-A,2060-A,Problem,brute force,800,Fibonacciness
2059-E2,2059-E2,Problem,"brute force,constructive algorithms,data structures,hashing,strings",2900,Stop Gaming (Hard Version)
2059-E1,2059-E1,Problem,"brute force,constructive algorithms,greedy,hashing,strings",2500,Stop Gaming (Easy Version)
2059-D,2059-D,Problem,"data structures,graphs,greedy,shortest paths",1900,Graph and Graph
2059-C,2059-C,Problem,"brute force,constructive algorithms,graph matchings,greedy,math,sortings",1600,Customer Service
2059-B,2059-B,Problem,"brute force,constructive algorithms,greedy,math",1300,Cost of the Array
2059-A,2059-A,Problem,"constructive algorithms,greedy,sortings",800,Milya and Two Arrays
2057-H,2057-H,Problem,"data structures,greedy,math",3500,Coffee Break
2057-G,2057-G,Problem,"constructive algorithms,dfs and similar,math",3000,Secret Message
2057-F,2057-F,Problem,"binary search,data structures,dp,sortings,two pointers",3300,Formation
2057-E2,2057-E2,Problem,"binary search,dfs and similar,dp,dsu,graphs,shortest paths,sortings",2500,Another Exercise on Graphs (hard version)
2057-E1,2057-E1,Problem,"binary search,brute force,dp,dsu,graphs,shortest paths,sortings",2300,Another Exercise on Graphs (Easy Version)
2057-D,2057-D,Problem,"data structures,greedy,implementation,math,matrices",2000,Gifts Order
2057-C,2057-C,Problem,"bitmasks,constructive algorithms,greedy,math",1500,Trip to the Olympiad
2057-B,2057-B,Problem,"greedy,sortings",1000,Gorilla and the Exam
2057-A,2057-A,Problem,"constructive algorithms,math",800,MEX Table
2056-F2,2056-F2,Problem,"bitmasks,brute force,combinatorics,dp,math",3000,Xor of Median (Hard Version)
2056-F1,2056-F1,Problem,"bitmasks,brute force,combinatorics,dp,math",2700,Xor of Median (Easy Version)
2056-E,2056-E,Problem,"combinatorics,dfs and similar,dp,dsu,math",2500,Nested Segments
2056-D,2056-D,Problem,"binary search,brute force,combinatorics,data structures,divide and conquer,dp",2200,Unique Median
2056-C,2056-C,Problem,"brute force,constructive algorithms,math",1200,Palindromic Subsequences
2056-B,2056-B,Problem,"brute force,dfs and similar,graphs,implementation,sortings",1300,Find the Permutation
2056-A,2056-A,Problem,"constructive algorithms,math",800,Shape Perimeter
2055-F,2055-F,Problem,"brute force,geometry,hashing,math,strings",3200,Cosmic Divide
2055-E,2055-E,Problem,"brute force,constructive algorithms,data structures,greedy,sortings",2800,Haystacks
2055-D,2055-D,Problem,"greedy,implementation,math",2000,Scarecrow
2055-C,2055-C,Problem,"brute force,constructive algorithms,greedy,math,two pointers",1400,The Trail
2055-B,2055-B,Problem,"constructive algorithms,greedy,sortings",1000,Crafting
2055-A,2055-A,Problem,"constructive algorithms,games,greedy,math",800,Two Frogs
2053-I2,2053-I2,Problem,"data structures,dp,graphs,greedy,math,shortest paths,two pointers",3500,Affectionate Arrays (Hard Version)
2053-I1,2053-I1,Problem,"data structures,dp,greedy",2800,Affectionate Arrays (Easy Version)
2053-H,2053-H,Problem,"constructive algorithms,implementation",3500,Delicate Anti-monotonous Operations
2053-G,2053-G,Problem,"binary search,brute force,greedy,hashing,math,number theory,strings",3400,Naive String Splits
2053-F,2053-F,Problem,"brute force,data structures,dp,greedy,implementation,math",2600,Earnest Matrix Complement
2053-E,2053-E,Problem,"dfs and similar,dp,games,graphs,greedy,trees",1900,Resourceful Caterpillar Sequence
2053-D,2053-D,Problem,"binary search,data structures,greedy,math,schedules,sortings",1700,Refined Product Optimality
2053-C,2053-C,Problem,"bitmasks,divide and conquer,dp,math",1500,Bewitching Stargazer
2053-B,2053-B,Problem,"binary search,brute force,data structures,greedy",1200,Outstanding Impressionist
2053-A,2053-A,Problem,"dp,geometry,greedy,math",800,Tender Carpenter
2052-M,2052-M,Problem,"dp,graphs,math,trees",2700,Managing Cluster
2052-L,2052-L,Problem,,2900,Legacy Screensaver
2052-K,2052-K,Problem,,2800,Knowns and Unknowns
2052-J,2052-J,Problem,"binary search,greedy,sortings",2000,Judicious Watching
2052-I,2052-I,Problem,"graphs,shortest paths",2800,Incompetent Delivery Guy
2052-H,2052-H,Problem,interactive,3500,Hunting Hoglins in Hogwarts
2052-G,2052-G,Problem,"data structures,geometry,implementation",2800,Geometric Balance
2052-F,2052-F,Problem,"constructive algorithms,dp,graphs",1700,Fix Flooded Floor
2052-E,2052-E,Problem,"brute force,expression parsing,strings",1900,Expression Correction
2052-D,2052-D,Problem,"brute force,graphs",2100,DAG Serialization
2052-C,2052-C,Problem,"constructive algorithms,math",3500,Cactus without Bridges
2052-B,2052-B,Problem,,2400,BitBitJump
2052-A,2052-A,Problem,constructive algorithms,1600,Adrenaline Rush
2051-G,2051-G,Problem,"bitmasks,dp,dsu,graphs",2100,Snakes
2051-F,2051-F,Problem,"brute force,greedy,implementation,math",2000,Joker
2051-E,2051-E,Problem,"binary search,brute force,data structures,greedy,sortings",1600,Best Price
2051-D,2051-D,Problem,"binary search,sortings,two pointers",1200,Counting Pairs
2051-C,2051-C,Problem,"constructive algorithms,implementation",1000,Preparing for the Exam
2051-B,2051-B,Problem,"binary search,math",800,Journey
2051-A,2051-A,Problem,greedy,800,Preparing for the Olympiad
2050-G,2050-G,Problem,"dfs and similar,dp,trees",1900,Tree Destruction
2050-F,2050-F,Problem,"data structures,divide and conquer,math,number theory",1700,Maximum modulo equality
2050-E,2050-E,Problem,"dp,implementation,strings",1500,Three Strings
2050-D,2050-D,Problem,"brute force,greedy,math,strings",1300,Digital string maximization
2050-C,2050-C,Problem,"brute force,dp,math",1200,Uninteresting Number
2050-B,2050-B,Problem,"brute force,greedy,math",1100,Transfusion
2050-A,2050-A,Problem,implementation,800,Line Breaks
2049-F,2049-F,Problem,"bitmasks,brute force,data structures,dsu,implementation",2700,MEX OR Mania
2049-E,2049-E,Problem,"binary search,bitmasks,brute force,constructive algorithms,implementation,interactive",2400,Broken Queries
2049-D,2049-D,Problem,"brute force,dp",1900,Shift + Esc
2049-C,2049-C,Problem,"brute force,constructive algorithms,greedy,implementation",1500,MEX Cycle
2049-B,2049-B,Problem,"brute force,constructive algorithms,graph matchings,implementation",1300,pspspsps
2049-A,2049-A,Problem,"greedy,implementation",800,MEX Destruction
2048-I2,2048-I2,Problem,"bitmasks,fft,math",3500,Kevin and Puzzle (Hard Version)
2048-I1,2048-I1,Problem,constructive algorithms,3500,Kevin and Puzzle (Easy Version)
2048-H,2048-H,Problem,"data structures,dp",3100,Kevin and Strange Operation
2048-G,2048-G,Problem,"brute force,combinatorics,dp,math",2800,Kevin and Matrices
2048-F,2048-F,Problem,"brute force,data structures,divide and conquer,dp,implementation,math,trees",2500,Kevin and Math Class
2048-E,2048-E,Problem,"constructive algorithms,graphs,greedy",2000,Kevin and Bipartite Graph
2048-D,2048-D,Problem,"binary search,brute force,data structures,greedy,sortings,two pointers",1600,Kevin and Competition Memories
2048-C,2048-C,Problem,"bitmasks,brute force,greedy,implementation,strings",1200,Kevin and Binary Strings
2048-B,2048-B,Problem,"constructive algorithms,greedy",900,Kevin and Permutation
2048-A,2048-A,Problem,"brute force,greedy,implementation,math,number theory",800,Kevin and Combination Lock
2047-B,2047-B,Problem,"brute force,combinatorics,greedy,strings",900,Replace Character
2047-A,2047-A,Problem,"implementation,math",800,Alyona and a Square Jigsaw Puzzle
2046-F2,2046-F2,Problem,"constructive algorithms,data structures,greedy,implementation",3500,Yandex Cuneiform (Hard Version)
2046-F1,2046-F1,Problem,"constructive algorithms,data structures,greedy",3300,Yandex Cuneiform (Easy Version)
2046-E2,2046-E2,Problem,"greedy,implementation",3500,Cheops and a Contest (Hard Version)
2046-E1,2046-E1,Problem,"constructive algorithms,greedy",2900,Cheops and a Contest (Easy Version)
2046-D,2046-D,Problem,"flows,graphs",3100,For the Emperor!
2046-C,2046-C,Problem,"binary search,data structures,greedy,sortings,ternary search,two pointers",2100,Adventurers
2046-B,2046-B,Problem,"binary search,data structures,greedy,sortings",1600,Move Back at a Cost
2046-A,2046-A,Problem,"greedy,sortings",1200,Swap Columns and Find a Path
2045-M,2045-M,Problem,"brute force,dfs and similar,graphs,implementation",1800,Mirror Maze
2045-L,2045-L,Problem,constructive algorithms,3000,Buggy DFS
2045-K,2045-K,Problem,,2900,GCDDCG
2045-J,2045-J,Problem,"bitmasks,data structures",2600,Xorderable Array
2045-I,2045-I,Problem,data structures,2100,Microwavable Subsequence
2045-H,2045-H,Problem,"dp,sortings,string suffix structures,strings",2200,Missing Separators
2045-G,2045-G,Problem,"graphs,math,shortest paths",2200,X Aura
2045-F,2045-F,Problem,"games,math",3000,Grid Game 3-angle
2045-E,2045-E,Problem,"combinatorics,data structures",2700,Narrower Passageway
2045-D,2045-D,Problem,,3500,Aquatic Dragon
2045-C,2045-C,Problem,"greedy,strings",1400,Saraga
2045-B,2045-B,Problem,"math,number theory",2000,ICPC Square
2045-A,2045-A,Problem,"brute force,greedy",1700,Scrambled Scrabble
2044-H,2044-H,Problem,"constructive algorithms,data structures,dp,implementation,math",2100,Hard Demon Problem
2044-G2,2044-G2,Problem,"dfs and similar,dp,dsu,graphs,implementation,trees",1900,Medium Demon Problem (hard version)
2044-G1,2044-G1,Problem,"dfs and similar,graph matchings,graphs,implementation,trees",1700,Medium Demon Problem (easy version)
2044-F,2044-F,Problem,"binary search,brute force,data structures,math,number theory",1900,Easy Demon Problem
2044-E,2044-E,Problem,"binary search,greedy,implementation,math,number theory",1300,Insane Problem
2044-D,2044-D,Problem,"constructive algorithms,greedy,math",1100,Harder Problem
2044-C,2044-C,Problem,"greedy,math",800,Hard Problem
2044-B,2044-B,Problem,"implementation,strings",800,Normal Problem
2044-A,2044-A,Problem,"brute force,math",800,Easy Problem
